chinRyo,ekiToho,senMenseki,chiku,kai_all,shinchiku,kai_above,south,parking,autolock,aircon,bathtoilet,addbatch,flooring,pet,url_detail
60000,10,38.8,27,3,0,0,0,0,0,0,1,0,1,0,https://www.chintai.net/detail/bk-0000004280000000007114000020/
66500,13,20.52,1,3,0,1,0,0,1,1,1,0,1,0,https://www.chintai.net/detail/bk-C010078540000000001026100003/
64000,4,29.25,11,3,0,1,0,1,0,1,1,1,1,0,https://www.chintai.net/detail/bk-C010002440000000001012280101/
71000,8,29.81,8,2,0,1,0,0,0,1,1,0,1,0,https://www.chintai.net/detail/bk-0000000960000000009156150003/
53000,6,15.1,11,6,0,1,1,0,1,1,0,0,1,0,https://www.chintai.net/detail/bk-C010072700010800003234230001/
75000,10,22.92,8,2,0,1,0,0,0,1,1,0,1,0,https://www.chintai.net/detail/bk-C010072700010800003217700001/
66000,10,23.37,13,2,0,0,0,0,0,1,1,0,1,0,https://www.chintai.net/detail/bk-0000000020000000007200290002/
68000,10,23.37,13,2,0,1,0,0,0,1,1,0,1,0,https://www.chintai.net/detail/bk-0000000020000000007200290006/
73000,2,34,40,3,0,1,0,0,0,1,1,0,1,0,https://www.chintai.net/detail/bk-0000006560000000006663270003/
72000,8,25.57,10,11,0,1,0,0,1,1,1,0,1,0,https://www.chintai.net/detail/bk-C010046450000420079757440001/
120000,4,45.36,2,4,0,1,0,0,1,1,1,1,1,0,https://www.chintai.net/detail/bk-C010046450000420079758730001/
80000,8,26.88,4,3,0,0,0,0,1,1,1,0,1,0,https://www.chintai.net/detail/bk-C010046450000420079754960001/
82000,5,30.32,12,7,0,1,0,0,1,1,1,1,1,0,https://www.chintai.net/detail/bk-C010008250000000001040270100/
102000,3,35.19,1,4,0,1,0,0,1,1,1,1,0,0,https://www.chintai.net/detail/bk-C010063020000000001037020101/
83000,7,36,30,3,0,1,0,0,0,1,1,0,1,0,https://www.chintai.net/detail/bk-0000000020000000002846670010/
57500,6,12.26,0,2,1,1,0,0,0,1,0,0,1,0,https://www.chintai.net/detail/bk-C010046450000420079735530001/
56000,6,12.26,0,2,1,0,0,0,0,1,0,0,1,0,https://www.chintai.net/detail/bk-C010046450000420079735330001/
56000,6,12.44,0,2,1,1,0,0,0,1,0,0,1,0,https://www.chintai.net/detail/bk-C010046450000420079736520001/
53000,4,17.34,27,7,0,1,0,0,1,1,0,0,1,0,https://www.chintai.net/detail/bk-C010081370000000001002840036/
58000,4,17.34,27,7,0,1,0,0,1,1,0,0,1,0,https://www.chintai.net/detail/bk-C010081370000000001002840035/
84000,1,22.92,1,2,0,1,0,0,0,1,1,0,1,1,https://www.chintai.net/detail/bk-0000000020000000007534960001/
72000,14,33.53,2,3,0,0,0,0,1,1,1,1,1,0,https://www.chintai.net/detail/bk-C010057870021609801010400001/
84000,3,25.39,5,8,0,1,1,0,1,1,1,0,1,0,https://www.chintai.net/detail/bk-C010046450000420079732360001/
73000,3,25.2,4,10,0,1,0,0,1,1,1,0,1,1,https://www.chintai.net/detail/bk-C010046450000420079733040001/
150000,3,52.61,0,3,1,1,0,0,0,1,1,1,1,0,https://www.chintai.net/detail/bk-C010072700010800003230110001/
79500,5,25.6,11,5,0,1,1,0,1,1,1,0,1,0,https://www.chintai.net/detail/bk-C010072420000000001000790026/
68500,19,25.45,1,6,0,1,0,0,1,1,1,0,1,0,https://www.chintai.net/detail/bk-C010072700010800003226240001/
65000,6,20.23,9,3,0,0,1,0,1,1,1,0,1,1,https://www.chintai.net/detail/bk-C010072700010800003226000001/
60000,13,34.45,9,3,0,0,0,0,0,1,1,1,1,0,https://www.chintai.net/detail/bk-0000004280000000009151570016/
64000,10,20,9,3,0,0,0,0,0,1,1,0,1,0,https://www.chintai.net/detail/bk-C010076250052810001870880001/
71000,13,17.06,1,3,0,1,0,0,1,1,1,0,1,0,https://www.chintai.net/detail/bk-C010076250052810001879710001/
69000,3,28.95,25,6,0,1,0,0,0,1,1,0,1,0,https://www.chintai.net/detail/bk-C010033530000000000455020001/
54500,9,11,0,2,1,0,0,0,0,1,0,0,1,0,https://www.chintai.net/detail/bk-C010075290046540000638770001/
88000,8,25.02,0,4,1,1,0,0,1,1,1,0,1,0,https://www.chintai.net/detail/bk-C010046450000420079716000001/
92000,8,26.54,0,4,1,1,0,0,1,1,1,0,1,0,https://www.chintai.net/detail/bk-C010046450000420079716340001/
87000,8,25.02,0,4,1,0,0,0,1,1,1,0,1,0,https://www.chintai.net/detail/bk-C010046450000420079715030001/
94000,8,67.5,22,6,0,1,1,1,0,0,1,1,1,0,https://www.chintai.net/detail/bk-0000004100000000006374590017/
99000,4,55.2,29,12,0,0,1,1,1,1,1,0,1,0,https://www.chintai.net/detail/bk-C010072700010800003208760001/
56000,8,17,26,3,0,0,1,0,1,1,0,0,1,0,https://www.chintai.net/detail/bk-0000000020000000000709960020/
75000,2,41.48,12,3,0,0,0,0,0,1,1,0,1,0,https://www.chintai.net/detail/bk-0000004280000000006144640004/
89000,19,54.19,2,3,0,1,0,1,0,1,1,1,1,0,https://www.chintai.net/detail/bk-C010057870021327101030100001/
112000,6,39.3,12,5,0,1,0,0,1,1,1,1,1,0,https://www.chintai.net/detail/bk-C010046450000420079709540001/
52000,13,25.92,9,3,0,1,0,1,0,1,1,0,1,0,https://www.chintai.net/detail/bk-0000004280000000009151570002/
134000,4,57.75,28,5,0,1,1,1,0,1,1,1,1,0,https://www.chintai.net/detail/bk-0000000020000000001104150004/
65000,15,25.5,42,2,0,0,1,0,0,1,0,0,1,0,https://www.chintai.net/detail/bk-0000006630000000003600600001/
64000,4,29.25,11,3,0,1,0,1,0,1,1,1,1,0,https://www.chintai.net/detail/bk-C010063050000000001003330100/
76000,10,26.08,11,2,0,0,1,0,1,1,1,1,1,0,https://www.chintai.net/detail/bk-C010057620014370201010100001/
57500,7,13.01,1,2,0,0,1,0,0,1,0,0,1,0,https://www.chintai.net/detail/bk-C010038510002810001759280001/
70000,12,26.44,9,2,0,0,1,0,0,1,1,0,1,0,https://www.chintai.net/detail/bk-C010046450000420079701550001/
149000,6,77.92,21,6,0,1,0,0,0,1,1,1,0,0,https://www.chintai.net/detail/bk-C010046890000000001058090100/
65000,6,20.23,9,3,0,0,1,0,1,1,1,0,1,1,https://www.chintai.net/detail/bk-C010070510022010001876850001/
70000,12,26.44,9,2,0,0,1,0,0,1,1,0,1,0,https://www.chintai.net/detail/bk-C010070510022010001876830001/
50000,11,16.23,32,3,0,1,0,0,0,1,0,0,1,0,https://www.chintai.net/detail/bk-0000000020000000000025180004/
72000,1,42,23,3,0,1,0,0,0,1,1,0,1,0,https://www.chintai.net/detail/bk-0000004280000000000754720006/
48000,10,14.16,34,5,0,1,0,0,0,1,0,0,1,0,https://www.chintai.net/detail/bk-C010075290046540000636860001/
60000,13,34.45,9,3,0,0,0,0,0,1,1,1,1,0,https://www.chintai.net/detail/bk-0000004280000000009151570016/
64000,10,20,9,3,0,0,0,0,0,1,1,0,1,0,https://www.chintai.net/detail/bk-C010046450000420079674660001/
52000,13,25.92,9,3,0,1,0,1,0,1,1,0,1,0,https://www.chintai.net/detail/bk-0000004280000000009151570002/
64000,10,20,9,3,0,0,0,0,0,1,1,0,1,0,https://www.chintai.net/detail/bk-0000000020000000009152560001/
64000,10,20,9,3,0,0,0,0,0,1,1,0,1,0,https://www.chintai.net/detail/bk-C010076250052810001870880001/
90000,13,37.88,9,3,0,1,1,0,1,1,1,1,1,0,https://www.chintai.net/detail/bk-0000000960000000009150520003/
70000,12,26.44,9,2,0,0,1,0,0,1,1,0,1,0,https://www.chintai.net/detail/bk-C010046450000420079701550001/
70000,12,26.44,9,2,0,0,1,0,0,1,1,0,1,0,https://www.chintai.net/detail/bk-C010070510022010001876830001/
70000,12,26.44,9,2,0,0,1,0,0,1,1,0,1,0,https://www.chintai.net/detail/bk-C010076250052810001875260001/
